TimePeriod,GeoTypeDesc,GeoID,GeoRank,BoroID,Borough,Geography,Area,Number,Percent
2022,Borough,1,1,1,Bronx,Bronx,Bronx,"363,000","34.3 (30.9, 37.8)"
2022,Borough,2,1,2,Brooklyn,Brooklyn,Brooklyn,"512,000","25.0 (22.5, 27.6)"
2022,Borough,3,1,3,Manhattan,Manhattan,Manhattan,"266,000","19.5 (16.7, 22.6)"
2022,Borough,4,1,4,Queens,Queens,Queens,"453,000","24.0 (21.3, 27.0)"
2022,Borough,5,1,5,Staten Island,Staten Island,Staten Island,"120,000","31.8 (25.6, 38.8)"
2022,UHF 34,101,3,1,Bronx,Kingsbridge - Riverdale,Kingsbridge - Riverdale  Bronx,"25,000*","36.8* (25.3, 49.9)"
2022,UHF 34,102,3,1,Bronx,Northeast Bronx,Northeast Bronx  Bronx,"54,000","32.6 (24.9, 41.5)"
2022,UHF 34,103,3,1,Bronx,Fordham - Bronx Pk,Fordham - Bronx Pk  Bronx,"59,000","31.8 (24.6, 40.0)"
2022,UHF 34,104,3,1,Bronx,Pelham - Throgs Neck,Pelham - Throgs Neck  Bronx,"81,000","35.4 (28.6, 43.0)"
2022,UHF 34,105106107,3,1,Bronx,South Bronx,South Bronx  Bronx,"144,000","35.0 (29.3, 41.2)"
2022,UHF 34,201,3,2,Brooklyn,Greenpoint,Greenpoint  Brooklyn,"19,000","16.2 (9.5, 26.1)"
2022,UHF 34,202,3,2,Brooklyn,Downtown - Heights - Slope,Downtown - Heights - Slope  Brooklyn,"39,000","18.6 (13.5, 25.1)"
2022,UHF 34,203,3,2,Brooklyn,Bedford Stuyvesant - Crown Heights,Bedford Stuyvesant - Crown Heights  Brooklyn,"71,000","26.4 (20.4, 33.5)"
2022,UHF 34,204,3,2,Brooklyn,East New York,East New York  Brooklyn,"62,000*","40.3* (29.8, 51.9)"
2022,UHF 34,205,3,2,Brooklyn,Sunset Park,Sunset Park  Brooklyn,"19,000*","20.7* (11.3, 34.8)"
2022,UHF 34,206,3,2,Brooklyn,Borough Park,Borough Park  Brooklyn,"40,000","17.9 (12.0, 26.0)"
2022,UHF 34,207,3,2,Brooklyn,East Flatbush - Flatbush,East Flatbush - Flatbush  Brooklyn,"79,000","31.9 (24.4, 40.6)"
2022,UHF 34,208,3,2,Brooklyn,Canarsie - Flatlands,Canarsie - Flatlands  Brooklyn,"54,000*","33.5* (23.7, 45.0)"
2022,UHF 34,209,3,2,Brooklyn,Bensonhurst - Bay Ridge,Bensonhurst - Bay Ridge  Brooklyn,"34,000","20.4 (13.0, 30.4)"
2022,UHF 34,210,3,2,Brooklyn,Coney Island - Sheepshead Bay,Coney Island - Sheepshead Bay  Brooklyn,"55,000","23.3 (16.4, 31.9)"
2022,UHF 34,211,3,2,Brooklyn,Williamsburg - Bushwick,Williamsburg - Bushwick  Brooklyn,"41,000","22.9 (15.9, 31.8)"
2022,UHF 34,301,3,3,Manhattan,Washington Heights,Washington Heights  Manhattan,"78,000*","33.9* (24.3, 45.0)"
2022,UHF 34,302,3,3,Manhattan,Central Harlem - Morningside Heights,Central Harlem - Morningside Heights  Manhattan,"44,000*","31.6* (21.3, 44.2)"
2022,UHF 34,303,3,3,Manhattan,East Harlem,East Harlem  Manhattan,"34,000*","38.3* (27.5, 50.3)"
2022,UHF 34,304,3,3,Manhattan,Upper West Side,Upper West Side  Manhattan,"26,000","13.7 (8.5, 21.4)"
2022,UHF 34,305307,3,3,Manhattan,Upper East Side-Gramercy,Upper East Side-Gramercy  Manhattan,"26,000","8.8 (5.2, 14.6)"
2022,UHF 34,306308,3,3,Manhattan,Chelsea-Village,Chelsea-Village    Manhattan,"28,000","13.2 (8.1, 20.9)"
2022,UHF 34,309310,3,3,Manhattan,Union Square-Lower Manhattan,Union Square-Lower Manhattan  Manhattan,"30,000","14.4 (9.6, 21.0)"
2022,UHF 34,401,3,4,Queens,Long Island City - Astoria,Long Island City - Astoria  Queens,"36,000","20.3 (14.4, 27.8)"
2022,UHF 34,402,3,4,Queens,West Queens,West Queens  Queens,"90,000","24.5 (17.3, 33.5)"
2022,UHF 34,403,3,4,Queens,Flushing - Clearview,Flushing - Clearview  Queens,"32,000","14.9 (9.4, 22.7)"
2022,UHF 34,405,3,4,Queens,Ridgewood - Forest Hills,Ridgewood - Forest Hills  Queens,"56,000","25.9 (18.2, 35.4)"
2022,UHF 34,407,3,4,Queens,Southwest Queens,Southwest Queens  Queens,"60,000","25.5 (18.8, 33.6)"
2022,UHF 34,408,3,4,Queens,Jamaica,Jamaica  Queens,"72,000","28.4 (20.4, 38.1)"
2022,UHF 34,409,3,4,Queens,Southeast Queens,Southeast Queens  Queens,"60,000*","33.9* (24.4, 45.0)"
2022,UHF 34,410,3,4,Queens,Rockaways,Rockaways  Queens,"24,000","26.3 (18.9, 35.3)"
2022,UHF 34,404406,3,4,Queens,Bayside Little Neck-Fresh Meadows,Bayside Little Neck-Fresh Meadows  Queens,"23,000","15.2 (10.3, 22.0)"
2022,UHF 34,501502,3,5,Staten Island,Northern SI,Northern SI  Staten Island,"52,000*","34.1* (23.2, 47.0)"
2022,UHF 34,503504,3,5,Staten Island,Southern SI,Southern SI  Staten Island,"68,000","30.3 (23.2, 38.4)"
2020,Borough,1,1,1,Bronx,Bronx,Bronx,"332,000","32.4 (29.1, 35.8)"
2020,Borough,2,1,2,Brooklyn,Brooklyn,Brooklyn,"479,000","24.6 (22.3, 27.0)"
2020,Borough,3,1,3,Manhattan,Manhattan,Manhattan,"227,000","17.1 (14.7, 19.7)"
2020,Borough,4,1,4,Queens,Queens,Queens,"435,000","24.6 (21.8, 27.7)"
2020,Borough,5,1,5,Staten Island,Staten Island,Staten Island,"118,000","32.5 (26.5, 39.1)"
2020,UHF 34,101,3,1,Bronx,Kingsbridge - Riverdale,Kingsbridge - Riverdale  Bronx,"13,000","18.3 (11.3, 28.2)"
2020,UHF 34,102,3,1,Bronx,Northeast Bronx,Northeast Bronx  Bronx,"43,000","29.7 (21.3, 39.8)"
2020,UHF 34,103,3,1,Bronx,Fordham - Bronx Pk,Fordham - Bronx Pk  Bronx,"66,000","36.0 (28.2, 44.7)"
2020,UHF 34,104,3,1,Bronx,Pelham - Throgs Neck,Pelham - Throgs Neck  Bronx,"61,000","27.5 (21.0, 35.1)"
2020,UHF 34,105106107,3,1,Bronx,South Bronx,South Bronx  Bronx,"143,000","37.0 (31.7, 42.7)"
2020,UHF 34,201,3,2,Brooklyn,Greenpoint,Greenpoint  Brooklyn,"15,000*","15.3* (8.0, 27.5)"
2020,UHF 34,202,3,2,Brooklyn,Downtown - Heights - Slope,Downtown - Heights - Slope  Brooklyn,"28,000","15.6 (10.4, 22.8)"
2020,UHF 34,203,3,2,Brooklyn,Bedford Stuyvesant - Crown Heights,Bedford Stuyvesant - Crown Heights  Brooklyn,"70,000","29.1 (22.8, 36.3)"
2020,UHF 34,204,3,2,Brooklyn,East New York,East New York  Brooklyn,"35,000","26.5 (18.6, 36.3)"
2020,UHF 34,205,3,2,Brooklyn,Sunset Park,Sunset Park  Brooklyn,"24,000","24.0 (15.8, 34.6)"
2020,UHF 34,206,3,2,Brooklyn,Borough Park,Borough Park  Brooklyn,"49,000","20.8 (15.1, 27.9)"
2020,UHF 34,207,3,2,Brooklyn,East Flatbush - Flatbush,East Flatbush - Flatbush  Brooklyn,"63,000","27.6 (21.1, 35.2)"
2020,UHF 34,208,3,2,Brooklyn,Canarsie - Flatlands,Canarsie - Flatlands  Brooklyn,"56,000*","37.0* (27.5, 47.6)"
2020,UHF 34,209,3,2,Brooklyn,Bensonhurst - Bay Ridge,Bensonhurst - Bay Ridge  Brooklyn,"36,000","21.9 (14.5, 31.6)"
2020,UHF 34,210,3,2,Brooklyn,Coney Island - Sheepshead Bay,Coney Island - Sheepshead Bay  Brooklyn,"60,000","26.4 (19.6, 34.5)"
2020,UHF 34,211,3,2,Brooklyn,Williamsburg - Bushwick,Williamsburg - Bushwick  Brooklyn,"38,000","25.0 (18.0, 33.4)"
2020,UHF 34,301,3,3,Manhattan,Washington Heights,Washington Heights  Manhattan,"58,000","29.1 (21.7, 37.7)"
2020,UHF 34,302,3,3,Manhattan,Central Harlem - Morningside Heights,Central Harlem - Morningside Heights  Manhattan,"36,000","29.1 (21.6, 37.9)"
2020,UHF 34,303,3,3,Manhattan,East Harlem,East Harlem  Manhattan,"24,000*","29.5* (19.4, 42.1)"
2020,UHF 34,304,3,3,Manhattan,Upper West Side,Upper West Side  Manhattan,"32,000","17.3 (10.8, 26.5)"
2020,UHF 34,305307,3,3,Manhattan,Upper East Side-Gramercy,Upper East Side-Gramercy  Manhattan,"28,000","8.8 (5.6, 13.6)"
2020,UHF 34,306308,3,3,Manhattan,Chelsea-Village,Chelsea-Village    Manhattan,"20,000","9.6 (5.7, 15.7)"
2020,UHF 34,309310,3,3,Manhattan,Union Square-Lower Manhattan,Union Square-Lower Manhattan  Manhattan,"30,000","14.1 (9.4, 20.5)"
2020,UHF 34,401,3,4,Queens,Long Island City - Astoria,Long Island City - Astoria  Queens,"31,000","18.4 (12.0, 27.3)"
2020,UHF 34,402,3,4,Queens,West Queens,West Queens  Queens,"98,000","26.2 (20.2, 33.1)"
2020,UHF 34,403,3,4,Queens,Flushing - Clearview,Flushing - Clearview  Queens,"30,000","14.4 (8.2, 24.3)"
2020,UHF 34,405,3,4,Queens,Ridgewood - Forest Hills,Ridgewood - Forest Hills  Queens,"39,000","19.9 (13.4, 28.5)"
2020,UHF 34,407,3,4,Queens,Southwest Queens,Southwest Queens  Queens,"65,000","31.8 (24.2, 40.6)"
2020,UHF 34,408,3,4,Queens,Jamaica,Jamaica  Queens,"44,000","20.6 (12.9, 31.4)"
2020,UHF 34,409,3,4,Queens,Southeast Queens,Southeast Queens  Queens,"64,000*","41.1* (29.7, 53.5)"
2020,UHF 34,410,3,4,Queens,Rockaways,Rockaways  Queens,"28,000*","34.4* (18.7, 54.3)"
2020,UHF 34,404406,3,4,Queens,Bayside Little Neck-Fresh Meadows,Bayside Little Neck-Fresh Meadows  Queens,"28,000","19.3 (12.9, 28.0)"
2020,UHF 34,501502,3,5,Staten Island,Northern SI,Northern SI  Staten Island,"47,000*","32.0* (22.7, 43.0)"
2020,UHF 34,503504,3,5,Staten Island,Southern SI,Southern SI  Staten Island,"73,000","33.1 (25.7, 41.5)"
2019,Borough,1,1,1,Bronx,Bronx,Bronx,"343,000","33.5 (30.0, 37.2)"
2019,Borough,2,1,2,Brooklyn,Brooklyn,Brooklyn,"490,000","25.8 (23.4, 28.4)"
2019,Borough,3,1,3,Manhattan,Manhattan,Manhattan,"227,000","17.4 (14.8, 20.5)"
2019,Borough,4,1,4,Queens,Queens,Queens,"408,000","23.4 (20.7, 26.3)"
2019,Borough,5,1,5,Staten Island,Staten Island,Staten Island,"106,000","29.3 (23.4, 35.9)"
2019,UHF 34,101,3,1,Bronx,Kingsbridge - Riverdale,Kingsbridge - Riverdale  Bronx,"19,000*","26.7* (17.5, 38.4)"
2019,UHF 34,102,3,1,Bronx,Northeast Bronx,Northeast Bronx  Bronx,"46,000","30.9 (22.9, 40.2)"
2019,UHF 34,103,3,1,Bronx,Fordham - Bronx Pk,Fordham - Bronx Pk  Bronx,"58,000","33.5 (24.9, 43.4)"
2019,UHF 34,104,3,1,Bronx,Pelham - Throgs Neck,Pelham - Throgs Neck  Bronx,"86,000","37.5 (30.3, 45.3)"
2019,UHF 34,105106107,3,1,Bronx,South Bronx,South Bronx  Bronx,"128,000","33.0 (27.2, 39.3)"
2019,UHF 34,201,3,2,Brooklyn,Greenpoint,Greenpoint  Brooklyn,"14,000","15.0 (9.3, 23.5)"
2019,UHF 34,202,3,2,Brooklyn,Downtown - Heights - Slope,Downtown - Heights - Slope  Brooklyn,"25,000","14.6 (9.5, 21.6)"
2019,UHF 34,203,3,2,Brooklyn,Bedford Stuyvesant - Crown Heights,Bedford Stuyvesant - Crown Heights  Brooklyn,"61,000","25.9 (19.9, 33.0)"
2019,UHF 34,204,3,2,Brooklyn,East New York,East New York  Brooklyn,"48,000*","35.5* (25.4, 47.0)"
2019,UHF 34,205,3,2,Brooklyn,Sunset Park,Sunset Park  Brooklyn,"13,000*","14.1* (7.6, 24.7)"
2019,UHF 34,206,3,2,Brooklyn,Borough Park,Borough Park  Brooklyn,"43,000","18.7 (13.5, 25.4)"
2019,UHF 34,207,3,2,Brooklyn,East Flatbush - Flatbush,East Flatbush - Flatbush  Brooklyn,"72,000","31.2 (24.0, 39.6)"
2019,UHF 34,208,3,2,Brooklyn,Canarsie - Flatlands,Canarsie - Flatlands  Brooklyn,"64,000*","42.2* (31.5, 53.6)"
2019,UHF 34,209,3,2,Brooklyn,Bensonhurst - Bay Ridge,Bensonhurst - Bay Ridge  Brooklyn,"30,000","18.8 (13.5, 25.6)"
2019,UHF 34,210,3,2,Brooklyn,Coney Island - Sheepshead Bay,Coney Island - Sheepshead Bay  Brooklyn,"64,000","27.5 (20.5, 35.7)"
2019,UHF 34,211,3,2,Brooklyn,Williamsburg - Bushwick,Williamsburg - Bushwick  Brooklyn,"47,000","32.3 (23.2, 43.0)"
2019,UHF 34,301,3,3,Manhattan,Washington Heights,Washington Heights  Manhattan,"50,000","25.3 (17.9, 34.4)"
